iter	Logloss
0	0.6909785271
1	0.689260006
2	0.6872214317
3	0.6847350597
4	0.6830158234
5	0.6812418938
6	0.679038763
7	0.6770889282
8	0.6754372597
9	0.6733346939
10	0.6718094826
11	0.669889164
12	0.6675816536
13	0.6654131889
14	0.6632605553
15	0.6614175797
16	0.6599298477
17	0.6580058575
18	0.6555987835
19	0.6532865524
20	0.6513221264
21	0.649518919
22	0.6468561172
23	0.6454986095
24	0.6432775497
25	0.6413156986
26	0.6395468712
27	0.6377550125
28	0.636578083
29	0.6346382141
30	0.632420826
31	0.6306984425
32	0.6290810585
33	0.6276071548
34	0.626710844
35	0.6247611046
36	0.6236626625
37	0.6222573757
38	0.6207979202
39	0.6192963123
40	0.6177483082
41	0.615991497
42	0.6136860847
43	0.6117848396
44	0.6104594707
45	0.6093053818
46	0.6075754166
47	0.6057739735
48	0.6047400475
49	0.6030341625
50	0.6016700745
51	0.6000832558
52	0.5983092785
53	0.5971990585
54	0.5955899239
55	0.5942255974
56	0.592964077
57	0.5916279316
58	0.5897135735
59	0.5884977341
60	0.587171936
61	0.5860266685
62	0.5843942642
63	0.5827692986
64	0.5818372726
65	0.580170393
66	0.5794244289
67	0.5781880379
68	0.5767163277
69	0.5748482227
70	0.5736959457
71	0.5722006321
72	0.5705842972
73	0.5698204517
74	0.5685406685
75	0.5669222832
76	0.5655605316
77	0.5641475677
78	0.5626150131
79	0.5608332634
80	0.5599208832
81	0.5588891506
82	0.5574116707
83	0.55610075
84	0.5547967911
85	0.5532094002
86	0.5521129608
87	0.551150465
88	0.5496959686
89	0.5485443592
90	0.5472202301
91	0.5459774017
92	0.5447193623
93	0.5433679104
94	0.5426290512
95	0.541309166
96	0.5401591778
97	0.5389095306
98	0.5377473354
99	0.5366956234
100	0.5353251457
101	0.5337343216
102	0.5326617241
103	0.5318927765
104	0.5309617043
105	0.5295325279
106	0.5282273293
107	0.5270466805
108	0.5261793137
109	0.5249347687
110	0.5237499237
111	0.5227708817
112	0.5216086388
113	0.5205114365
114	0.5191917896
115	0.5182293892
116	0.5174733639
117	0.5163458824
118	0.5149876595
119	0.51375494
120	0.5130641937
121	0.5118865013
122	0.510892725
123	0.5101498604
124	0.5086370468
125	0.5073640347
126	0.5058010578
127	0.5046424866
128	0.5036421776
129	0.5025644302
130	0.5016634941
131	0.5007247925
132	0.4994936943
133	0.4983921051
134	0.4971812248
135	0.4964300156
136	0.4953277588
137	0.4944682598
138	0.4932398796
139	0.4919991493
140	0.4908396721
141	0.4899296284
142	0.4889583588
143	0.4881677628
144	0.4871551514
145	0.4863114357
146	0.4848529339
147	0.4836329937
148	0.4825137615
149	0.4813240051
150	0.4804544449
151	0.479385519
152	0.4786525726
153	0.4775265694
154	0.4764348507
155	0.475315237
156	0.4741502762
157	0.4731500626
158	0.4721658707
159	0.4714981556
160	0.4707253933
161	0.4694646358
162	0.4684214592
163	0.4673820496
164	0.4665856838
165	0.4653996944
166	0.4646046638
167	0.4638323784
168	0.4629747868
169	0.461951685
170	0.4610919476
171	0.4601727486
172	0.4594665527
173	0.4585793018
174	0.4575845718
175	0.4566205978
176	0.4558050156
177	0.4547767639
178	0.4539943695
179	0.4527779579
180	0.45160079
181	0.4504943848
182	0.4495022297
183	0.4488781452
184	0.4478709221
185	0.4469626427
186	0.4460717201
187	0.4448974609
188	0.443823719
189	0.4432029724
190	0.4429567337
191	0.4422082424
192	0.4413794518
